0,6
0,16
0,66
0,56
1,2
1,12
1,62
1,52
2,3
2,13
2,63
2,53
3,4
3,14
3,64
3,54
4,5
4,15
4,65
4,55
5,5
5,15
5,65
5,55
6,7
6,17
6,67
6,57
7,8
7,18
7,68
7,58
8,9
8,19
8,69
8,59
9,10
9,20
9,70
9,60
10,10
10,20
10,70
10,60
11,22
11,12
11,2
11,72
11,62
11,52
12,23
12,13
12,3
12,73
12,63
12,53
13,24
13,14
13,4
13,74
13,64
13,54
14,25
14,15
14,5
14,75
14,65
14,55
15,25
15,15
15,5
15,75
15,65
15,55
16,27
16,17
16,7
16,77
16,67
16,57
17,28
17,18
17,8
17,78
17,68
17,58
18,29
18,19
18,9
18,79
18,69
18,59
19,30
19,20
19,10
19,80
19,70
19,60
20,30
20,20
20,10
20,80
20,70
20,60
21,22
21,72
21,12
21,62
21,32
21,82
22,23
22,73
22,13
22,63
22,33
22,83
23,24
23,74
23,14
23,64
23,34
23,84
24,25
24,75
24,15
24,65
24,35
24,85
25,25
25,75
25,15
25,65
25,35
25,85
26,27
26,77
26,17
26,67
26,37
26,87
27,28
27,78
27,18
27,68
27,38
27,88
28,29
28,79
28,19
28,69
28,39
28,89
29,30
29,80
29,20
29,70
29,40
29,90
30,30
30,80
30,20
30,70
30,40
30,90
31,32
31,82
31,22
31,72
31,42
31,92
32,33
32,83
32,23
32,73
32,43
32,93
33,34
33,84
33,24
33,74
33,44
33,94
34,35
34,85
34,25
34,75
34,45
34,95
35,35
35,85
35,25
35,75
35,45
35,95
36,37
36,87
36,27
36,77
36,47
36,97
37,38
37,88
37,28
37,78
37,48
37,98
38,39
38,89
38,29
38,79
38,49
38,99
39,40
39,90
39,30
39,80
39,50
39,100
40,40
40,90
40,30
40,80
40,50
40,100
41,42
41,92
41,32
41,82
42,43
42,93
42,33
42,83
43,44
43,94
43,34
43,84
44,45
44,95
44,35
44,85
45,45
45,95
45,35
45,85
46,47
46,37
46,97
46,87
47,48
47,38
47,98
47,88
48,49
48,39
48,99
48,89
49,50
49,40
49,100
49,90
50,50
50,40
50,100
50,90
51,52
51,102
51,12
51,62
51,2
51,112
52,53
52,103
52,13
52,63
52,3
52,113
53,54
53,104
53,14
53,64
53,4
53,114
54,55
54,105
54,15
54,65
54,5
54,115
55,55
55,105
55,15
55,65
55,5
55,115
56,62
56,112
56,52
56,102
56,57
56,107
56,17
56,67
56,7
56,2
57,63
57,113
57,53
57,103
57,58
57,108
57,18
57,68
57,8
57,3
58,64
58,114
58,54
58,104
58,59
58,109
58,19
58,69
58,9
58,4
59,65
59,115
59,55
59,105
59,60
59,110
59,20
59,70
59,10
59,5
60,65
60,115
60,55
60,105
60,60
60,110
60,20
60,70
60,10
60,5
61,12
61,62
61,2
61,52
61,22
61,72
61,122
61,112
61,102
62,13
62,63
62,3
62,53
62,23
62,73
62,123
62,113
62,103
63,14
63,64
63,4
63,54
63,24
63,74
63,124
63,114
63,104
64,15
64,65
64,5
64,55
64,25
64,75
64,125
64,115
64,105
65,15
65,65
65,5
65,55
65,25
65,75
65,125
65,115
65,105
66,17
66,67
66,7
66,57
66,27
66,77
66,127
66,117
66,107
67,18
67,68
