0,(2, 2, 0),1
1,(2, 2, 1),0
2,(2, 2, 2),0
3,(2, 2, 3),0
4,(2, 2, 4),0
5,(2, 2, 5),0
6,(2, 2, 1),1
7,(2, 2, 2),1
8,(2, 2, 3),1
9,(2, 2, 4),1
10,(2, 2, 5),1
11,(2, 6, 1),0
12,(2, 6, 2),0
13,(2, 6, 3),0
14,(2, 6, 4),0
15,(2, 6, 5),0
16,(2, 6, 1),1
17,(2, 6, 2),1
18,(2, 6, 3),1
19,(2, 6, 4),1
20,(2, 6, 5),1
21,(2, 10, 1),0
22,(2, 10, 2),0
23,(2, 10, 3),0
24,(2, 10, 4),0
25,(2, 10, 5),0
26,(2, 10, 1),1
27,(2, 10, 2),1
28,(2, 10, 3),1
29,(2, 10, 4),1
30,(2, 10, 5),1
31,(2, 14, 1),0
32,(2, 14, 2),0
33,(2, 14, 3),0
34,(2, 14, 4),0
35,(2, 14, 5),0
36,(2, 14, 1),1
37,(2, 14, 2),1
38,(2, 14, 3),1
39,(2, 14, 4),1
40,(2, 14, 5),1
41,(2, 18, 1),0
42,(2, 18, 2),0
43,(2, 18, 3),0
44,(2, 18, 4),0
45,(2, 18, 5),0
46,(2, 18, 1),1
47,(2, 18, 2),1
48,(2, 18, 3),1
49,(2, 18, 4),1
50,(2, 18, 5),1
51,(6, 2, 1),0
52,(6, 2, 2),0
53,(6, 2, 3),0
54,(6, 2, 4),0
55,(6, 2, 5),0
56,(6, 2, 1),1
57,(6, 2, 2),1
58,(6, 2, 3),1
59,(6, 2, 4),1
60,(6, 2, 5),1
61,(6, 6, 1),0
62,(6, 6, 2),0
63,(6, 6, 3),0
64,(6, 6, 4),0
65,(6, 6, 5),0
66,(6, 6, 1),1
67,(6, 6, 2),1
68,(6, 6, 3),1
69,(6, 6, 4),1
70,(6, 6, 5),1
71,(6, 10, 1),0
72,(6, 10, 2),0
73,(6, 10, 3),0
74,(6, 10, 4),0
75,(6, 10, 5),0
76,(6, 10, 1),1
77,(6, 10, 2),1
78,(6, 10, 3),1
79,(6, 10, 4),1
80,(6, 10, 5),1
81,(6, 14, 1),0
82,(6, 14, 2),0
83,(6, 14, 3),0
84,(6, 14, 4),0
85,(6, 14, 5),0
86,(6, 14, 1),1
87,(6, 14, 2),1
88,(6, 14, 3),1
