((10000, 10001), 1),0
((10002, 10000), 1),0
((10004, 10001), 1),0
((10001, 10002), 2),0
((10003, 10003), 1),0
((10005, 10000), 2),0
((10005, 10000), 1),0
((10002, 10004), 1),0
((10004, 10001), 3),0
((10000, 10003), 3),0
((10004, 10002), 1),0
((10002, 10004), 3),0
((10004, 10004), 2),0
((10003, 10001), 3),0
((10002, 10005), 1),0
((10000, 10001), 3),0
((10005, 10005), 1),0
((10002, 10000), 3),0
((10005, 10003), 2),0
((10005, 10000), 3),0
((10005, 10005), 3),0
((10004, 10004), 1),0
((10004, 10002), 2),0
((10003, 10004), 1),0
((10004, 10001), 2),0
((10003, 10001), 1),0
((10002, 10003), 1),0
((10000, 10000), 1),0
((10001, 10000), 2),0
((10002, 10001), 3),0
((10003, 10001), 2),0
((10000, 10004), 3),0
((10005, 10001), 3),0
((10005, 10003), 1),0
((10001, 10005), 2),0
((10000, 10004), 1),0
((10001, 10005), 3),0
((10003, 10004), 3),0
((10005, 10003), 3),0
((10001, 10003), 2),0
((10003, 10004), 2),0
((10000, 10002), 1),0
((10003, 10002), 1),0
((10002, 10003), 2),0
((10000, 10004), 2),0
((10000007, 10000007), 1),0
((10003, 10002), 3),0
((10002, 10001), 1),0
((10002, 10003), 3),0
((10001, 10000), 1),0
((10004, 10004), 3),0
((10000, 10002), 2),0
((10004, 10003), 3),0
((10000007, 10000007), 2),0
((10000, 10005), 1),0
((10005, 10004), 3),0
((10002, 10002), 1),0
((10001, 10001), 1),0
((10001, 10003), 3),0
((10005, 10001), 1),0
((10003, 10002), 2),0
((10004, 10000), 3),0
((10004, 10005), 2),0
((10001, 10005), 1),0
((10004, 10005), 1),0
((10003, 10000), 1),0
((10002, 10001), 2),0
((10000, 10000), 2),0
((10001, 10000), 3),0
((10005, 10001), 2),0
((10005, 10002), 1),0
((10000, 10002), 3),0
((10004, 10000), 1),0
((10004, 10005), 3),0
((10005, 10004), 2),0
((10001, 10003), 1),0
((10000007, 10000007), 3),0
((10000, 10005), 2),0
((10001, 10001), 3),0
((10001, 10001), 2),0
((10000, 10003), 1),0
((10004, 10000), 2),0
((10004, 10003), 1),0
((10005, 10004), 1),0
((10003, 10000), 2),0
((10000, 10000), 3),0
((10001, 10002), 1),0
((10004, 10002), 3),0
((10003, 10005), 2),0
((10001, 10002), 3),0
((10000, 10003), 2),0
((10002, 10002), 2),0
((10003, 10003), 2),0
((10003, 10005), 3),0
((10004, 10003), 2),0
((10002, 10004), 2),0
((10001, 10004), 1),0
((10002, 10000), 2),0
((10001, 10004), 3),0
((10005, 10005), 2),0
((10002, 10005), 2),0
((10001, 10004), 2),0
((10003, 10000), 3),0
((10003, 10005), 1),0
((10002, 10005), 3),0
((10005, 10002), 2),0
((10002, 10002), 3),0
((10003, 10003), 3),0
((10000, 10005), 3),0
((10000, 10001), 2),0
