((10001, 10002), 2),0
((10009, 10000), 3),0
((10003, 10006), 2),0
((10006, 10008), 3),0
((10001, 10014), 2),0
((10012, 10003), 3),0
((10011, 10006), 2),0
((10008, 10002), 3),0
((10005, 10010), 3),0
((10005, 10000), 2),0
((10006, 10015), 1),0
((10003, 10013), 1),0
((10002, 10004), 1),0
((10001, 10011), 2),0
((10012, 10010), 2),0
((10010, 10004), 2),0
((10002, 10013), 2),0
((10011, 10013), 1),0
((10012, 10000), 1),0
((10007, 10011), 1),0
((10000, 10011), 1),0
((10012, 10000), 2),0
((10009, 10010), 3),0
((10008, 10015), 1),0
((10002, 10005), 1),0
((10006, 10011), 3),0
((10004, 10013), 2),0
((10002, 10000), 3),0
((10005, 10003), 2),0
((10007, 10001), 3),0
((10007, 10012), 1),0
((10003, 10006), 3),0
((10005, 10013), 1),0
((10002, 10014), 1),0
((10010, 10007), 2),0
((10001, 10014), 3),0
((10005, 10000), 3),0
((10005, 10010), 1),0
((10005, 10012), 3),0
((10005, 10005), 3),0
((10002, 10013), 3),0
((10002, 10008), 1),0
((10005, 10002), 3),0
((10007, 10004), 2),0
((10004, 10012), 2),0
((10010, 10011), 1),0
((10010, 10006), 3),0
((10006, 10001), 3),0
((10011, 10002), 3),0
((10007, 10005), 2),0
((10000, 10007), 3),0
((10006, 10008), 2),0
((10011, 10014), 3),0
((10005, 10015), 3),0
((10010, 10007), 3),0
((10012, 10003), 2),0
((10007, 10014), 2),0
((10001, 10008), 2),0
((10002, 10008), 2),0
((10011, 10005), 3),0
((10007, 10004), 3),0
((10009, 10013), 2),0
((10011, 10000), 1),0
((10011, 10012), 1),0
((10004, 10012), 1),0
((10001, 10007), 2),0
((10008, 10008), 1),0
((10008, 10001), 1),0
((10010, 10010), 1),0
((10006, 10001), 2),0
((10004, 10011), 3),0
((10002, 10006), 3),0
((10011, 10015), 3),0
((10010, 10007), 1),0
((10007, 10007), 3),0
((10010, 10009), 3),0
((10000, 10004), 2),0
((10010, 10004), 1),0
((10009, 10001), 3),0
((10003, 10002), 3),0
((10012, 10001), 2),0
((10009, 10009), 2),0
((10001, 10008), 1),0
((10009, 10013), 3),0
((10011, 10000), 2),0
((10006, 10004), 2),0
((10011, 10012), 2),0
((10001, 10007), 3),0
((10008, 10013), 1),0
((10004, 10009), 1),0
((10010, 10000), 3),0
((10001, 10013), 1),0
((10000007, 10000007), 2),0
((10005, 10004), 3),0
((10007, 10005), 1),0
((10010, 10005), 3),0
((10010, 10012), 3),0
((10012, 10011), 2),0
((10012, 10004), 2),0
((10003, 10012), 1),0
((10002, 10006), 2),0
((10004, 10015), 1),0
((10012, 10001), 3),0
((10011, 10015), 2),0
((10001, 10005), 1),0
((10004, 10005), 1),0
((10001, 10000), 3),0
((10003, 10009), 2),0
((10005, 10002), 1),0
((10008, 10013), 2),0
((10008, 10006), 2),0
((10001, 10013), 2),0
((10005, 10014), 2),0
((10000007, 10000007), 3),0
((10007, 10000), 3),0
((10001, 10001), 3),0
((10010, 10000), 2),0
((10012, 10009), 1),0
