(15, 1),(10003, 10000)
(15, 10),(10003, 10002)
(7, 6),(10001, 10001)
(18, 6),(10004, 10001)
(15, 19),(10003, 10004)
(7, 15),(10001, 10003)
(18, 15),(10004, 10003)
(8, 7),(10002, 10001)
(19, 7),(10004, 10001)
(11, 3),(10002, 10000)
(0, 3),(10000, 10000)
(8, 16),(10002, 10004)
(19, 16),(10004, 10004)
(0, 12),(10000, 10003)
(11, 12),(10002, 10003)
(12, 4),(10003, 10001)
(4, 0),(10001, 10000)
(4, 9),(10001, 10002)
(3, 13),(10000, 10003)
(14, 13),(10003, 10003)
(15, 5),(10003, 10001)
(7, 1),(10001, 10000)
(18, 1),(10004, 10000)
(15, 14),(10003, 10003)
(7, 10),(10001, 10002)
(18, 10),(10004, 10002)
(7, 19),(10001, 10004)
(18, 19),(10004, 10004)
(8, 2),(10002, 10000)
(19, 2),(10004, 10000)
(8, 11),(10002, 10002)
(19, 11),(10004, 10002)
(0, 7),(10000, 10001)
(11, 7),(10002, 10001)
(0, 16),(10000, 10004)
(11, 16),(10002, 10004)
(10, 20),(10002, 10005)
(3, 8),(10000, 10002)
(14, 8),(10003, 10002)
(3, 17),(10000, 10004)
(14, 17),(10003, 10004)
(15, 0),(10003, 10000)
(15, 9),(10003, 10002)
(7, 5),(10001, 10001)
(18, 5),(10004, 10001)
(15, 18),(10003, 10004)
(7, 14),(10001, 10003)
(18, 14),(10004, 10003)
(19, 6),(10004, 10001)
(0, 2),(10000, 10000)
(11, 2),(10002, 10000)
(10, 15),(10002, 10003)
(2, 20),(10000, 10005)
(3, 3),(10000, 10000)
(14, 3),(10003, 10000)
(3, 12),(10000, 10003)
(14, 12),(10003, 10003)
(15, 4),(10003, 10001)
(7, 0),(10001, 10000)
(18, 0),(10004, 10000)
(15, 13),(10003, 10003)
(7, 9),(10001, 10002)
(18, 9),(10004, 10002)
(18, 18),(10004, 10004)
(10, 1),(10002, 10000)
(10, 10),(10002, 10002)
(2, 6),(10000, 10001)
(10, 19),(10002, 10004)
(2, 15),(10000, 10003)
(3, 7),(10000, 10001)
(14, 7),(10003, 10001)
(3, 16),(10000, 10004)
(14, 16),(10003, 10004)
(17, 18),(10004, 10004)
(7, 4),(10001, 10001)
(18, 4),(10004, 10001)
(6, 8),(10001, 10002)
(6, 17),(10001, 10004)
(10, 5),(10002, 10001)
(2, 1),(10000, 10000)
(10, 14),(10002, 10003)
(2, 10),(10000, 10002)
(2, 19),(10000, 10004)
(3, 2),(10000, 10000)
(14, 2),(10003, 10000)
(3, 11),(10000, 10002)
(14, 11),(10003, 10002)
(17, 13),(10004, 10003)
(5, 20),(10001, 10005)
(9, 18),(10002, 10004)
(6, 3),(10001, 10000)
(6, 12),(10001, 10003)
(10, 0),(10002, 10000)
(10, 9),(10002, 10002)
(2, 5),(10000, 10001)
(10, 18),(10002, 10004)
(2, 14),(10000, 10003)
(13, 20),(10003, 10005)
(14, 6),(10003, 10001)
(17, 8),(10004, 10002)
(9, 4),(10002, 10001)
(5, 15),(10001, 10003)
(17, 17),(10004, 10004)
(9, 13),(10002, 10003)
(6, 7),(10001, 10001)
(6, 16),(10001, 10004)
(10, 4),(10002, 10001)
(2, 0),(10000, 10000)
(10, 13),(10002, 10003)
(2, 9),(10000, 10002)
(13, 6),(10003, 10001)
(2, 18),(10000, 10004)
(13, 15),(10003, 10003)
(16, 11),(10004, 10002)
(16, 20),(10004, 10005)
(5, 1),(10001, 10000)
(17, 3),(10004, 10000)
(5, 10),(10001, 10002)
(17, 12),(10004, 10003)
(9, 8),(10002, 10002)
(5, 19),(10001, 10004)
(9, 17),(10002, 10004)
(6, 2),(10001, 10000)
(6, 11),(10001, 10002)
(6, 20),(10001, 10005)
(12, 18),(10003, 10004)
(2, 4),(10000, 10001)
(13, 1),(10003, 10000)
(1, 8),(10000, 10002)
(13, 10),(10003, 10002)
(16, 6),(10004, 10001)
(1, 17),(10000, 10004)
(13, 19),(10003, 10004)
(16, 15),(10004, 10003)
(5, 5),(10001, 10001)
(17, 7),(10004, 10001)
(9, 3),(10002, 10000)
(5, 14),(10001, 10003)
(17, 16),(10004, 10004)
(9, 12),(10002, 10003)
(6, 6),(10001, 10001)
(20, 8),(10005, 10002)
(20, 17),(10005, 10004)
(12, 13),(10003, 10003)
(4, 18),(10001, 10004)
(1, 3),(10000, 10000)
(13, 5),(10003, 10001)
(16, 1),(10004, 10000)
(1, 12),(10000, 10003)
(13, 14),(10003, 10003)
(16, 10),(10004, 10002)
(16, 19),(10004, 10004)
(5, 0),(10001, 10000)
(17, 2),(10004, 10000)
(5, 9),(10001, 10002)
(17, 11),(10004, 10002)
(9, 7),(10002, 10001)
(5, 18),(10001, 10004)
(9, 16),(10002, 10004)
(6, 1),(10001, 10000)
(8, 20),(10002, 10005)
(19, 20),(10004, 10005)
(20, 3),(10005, 10000)
(20, 12),(10005, 10003)
(12, 8),(10003, 10002)
(4, 4),(10001, 10001)
(12, 17),(10003, 10004)
(4, 13),(10001, 10003)
(13, 0),(10003, 10000)
(1, 7),(10000, 10001)
(13, 9),(10003, 10002)
(16, 5),(10004, 10001)
(1, 16),(10000, 10004)
(13, 18),(10003, 10004)
(16, 14),(10004, 10003)
(5, 4),(10001, 10001)
(9, 2),(10002, 10000)
(5, 13),(10001, 10003)
(8, 6),(10002, 10001)
(8, 15),(10002, 10003)
(19, 15),(10004, 10003)
(0, 11),(10000, 10002)
(11, 11),(10002, 10002)
(0, 20),(10000, 10005)
(11, 20),(10002, 10005)
(20, 7),(10005, 10001)
(12, 3),(10003, 10000)
(20, 16),(10005, 10004)
(12, 12),(10003, 10003)
(4, 8),(10001, 10002)
(4, 17),(10001, 10004)
(1, 2),(10000, 10000)
(13, 4),(10003, 10001)
(16, 0),(10004, 10000)
(1, 11),(10000, 10002)
(16, 9),(10004, 10002)
(1, 20),(10000, 10005)
(7, 18),(10001, 10004)
(8, 1),(10002, 10000)
(19, 1),(10004, 10000)
(8, 10),(10002, 10002)
(19, 10),(10004, 10002)
(0, 6),(10000, 10001)
(11, 6),(10002, 10001)
(8, 19),(10002, 10004)
(19, 19),(10004, 10004)
(0, 15),(10000, 10003)
(11, 15),(10002, 10003)
(20, 2),(10005, 10000)
(20, 11),(10005, 10002)
(12, 7),(10003, 10001)
(4, 3),(10001, 10000)
(12, 16),(10003, 10004)
(4, 12),(10001, 10003)
(1, 6),(10000, 10001)
(16, 4),(10004, 10001)
(15, 8),(10003, 10002)
(15, 17),(10003, 10004)
(7, 13),(10001, 10003)
(18, 13),(10004, 10003)
(8, 5),(10002, 10001)
(19, 5),(10004, 10001)
(0, 1),(10000, 10000)
(11, 1),(10002, 10000)
(8, 14),(10002, 10003)
(19, 14),(10004, 10003)
(0, 10),(10000, 10002)
(11, 10),(10002, 10002)
(0, 19),(10000, 10004)
(11, 19),(10002, 10004)
(20, 6),(10005, 10001)
(12, 2),(10003, 10000)
(12, 11),(10003, 10002)
(4, 7),(10001, 10001)
(4, 16),(10001, 10004)
(1, 1),(10000, 10000)
(3, 20),(10000, 10005)
(14, 20),(10003, 10005)
(15, 3),(10003, 10000)
(15, 12),(10003, 10003)
(7, 8),(10001, 10002)
